"site_code","latitude","longitude"
"Site 224",40.729523,-111.841969
"Site 229",40.729612,-111.883171
"Site 230",40.752834,-111.898097
"Site 027",40.846014,-112.029156
"Site 005",40.778689,-112.02854
"Site 029",40.826462,-111.944005
"Site 052",40.826291,-112.114005
"Site 051",40.794842,-112.122441
"Site 028",40.802139,-112.050242
"Site 024",40.806671,-112.016928
"Site 022",40.829946,-111.986131
"Site 226",40.705864,-111.806695
"Site 037",40.740352,-112.029477
"Site 211",40.730895,-111.857223
"Site 009",40.841775,-111.970167
"Site 062",40.852033,-112.049517
"Site 032",40.772369,-111.920029
"Site 212",40.764295,-111.876123
"Site 218",40.723648,-111.822666
"Site 214",40.776333,-111.89899
"Site 220",40.722358,-111.860128
"Site 219",40.781594,-111.864795
"Site 215",40.750031,-111.861323
"Site 231",40.752326,-111.918378
"Site 213",40.740865,-111.891203
"Site 049",40.768911,-112.083321
"Site 033",40.727647,-111.931808
"Site 054",40.787677,-112.063284
"Site 025",40.793303,-112.012101
"Site 222",40.710842,-111.859296
"Site 026",40.830952,-112.031522
"Site 003",40.84209,-111.953357
"Site 209",40.749919,-111.813278
"Site 035",40.816002,-112.101481
"Site 053",40.824112,-112.069104
"Site 060",40.747503,-111.967566
"Site 057",40.86989,-112.023355
"Site 030",40.727823,-112.045785
"Site 063",40.871167,-111.981345
"Site 221",40.710398,-111.872716
"Site 065",40.81327,-112.059
"Site 056",40.845859,-111.982075
"Site 059",40.754836,-112.038803
"Site 023",40.822043,-112.015109
"Site 061",40.800948,-112.084522
"Site 001",40.815674,-111.942333
"Site 227",40.7930466,-111.9258517
"Site 031",40.80014,-111.937342
"Site 004",40.844458,-112.003105
"Site 066",40.841498,-112.074051
"Site 228",40.764297,-111.861971
"Site 064",40.816544,-111.955752
"Site 050",40.784374,-112.109041
"Site 223",40.715254,-111.847231
"Site 207",40.742217,-111.875491
"Site 058",40.754243,-112.003557
"Site 225",40.738721,-111.837254
"Site 034",40.771529,-111.97708
"Site 208",40.74037,-111.816866
